Year,#,Category,Nominee,Additional Info,Won?,Race,Multi-Racial?,Dynamic,Stereotype,Restricted Race Role,Helps main white pratagonist in their journey or story was POV of white person,,,
2013,86th,Actor -- Leading Role,Chiwetel Ejiofor,"12 Years a Slave {""Solomon Northup""}",NO,Black,,Yes,Slave,No,,,,
2013,86th,Actor -- Supporting Role,Barkhad Abdi,"Captain Phillips {""Muse""}",NO,Black,,No,Villian,No,,,,
2013,86th,Actress -- Supporting Role,Lupita Nyong'o,"12 Years a Slave {""Patsey""}",YES,Black,,No,Slave,Yes,,,,
2012,85th,Actor -- Leading Role,Denzel Washington,"Flight {""Whip Whitaker""}",NO,Black,,Yes,Drunk/Bad Father,Yes,,,,
2012,85th,Actress -- Leading Role,Quvenzhané Wallis,"Beasts of the Southern Wild {""Hushpuppy""}",NO,Black,,Yes,Pickaninny/Magical Negro,No,,,,
2011,84th,Actor -- Leading Role,Demián Bichir,"A Better Life {""Carlos Galindo""}",NO,Hispanic,,Yes,Immigrant/Gardener,No,,,,
2011,84th,Actress -- Leading Role,Viola Davis,"The Help {""Aibileen Clark""}",NO,Black,,Yes,Maid,No,,,,
2011,84th,Actress -- Supporting Role,Bérénice Bejo,"The Artist {""Peppy Miller""}",NO,Hispanic,,Yes,,,,Husband directed movie,,
2011,84th,Actress -- Supporting Role,Octavia Spencer,"The Help {""Minny Jackson""}",YES,Black,,Yes,Maid,Yes,,,,
2010,83rd,Actor -- Leading Role,Javier Bardem,Biutiful {'Uxbal'},NO,Hispanic,,Yes,,No,,,,
2009,82nd,Actor -- Leading Role,Morgan Freeman,Invictus {'Nelson Mandela'},NO,Black,,Yes,Famous Person,Yes,,,,
2009,82nd,Actress -- Leading Role,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire {'Precious'},NO,Black,,Yes,Helpless Victim/Ghetto Child,No (maybe?),,,,
2009,82nd,Actress -- Supporting Role,Penélope Cruz,Nine {'Carla'},NO,Hispanic,,No,Sexpot,,,,,
2009,82nd,Actress -- Supporting Role,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire {'Mary'},YES,Black,,No,Sapphire,Yes,,,,
2008,81st,Actress -- Supporting Role,Penélope Cruz,Vicky Cristina Barcelona {'Maria Elena'},YES,Hispanic,,No,Jezebel/Sapphire,Yes,Yes,,,
2008,81st,Actress -- Supporting Role,Viola Davis,Doubt {'Mrs. Miller'},NO,Black,,No,,,,,,
2008,81st,Actress -- Supporting Role,Taraji P. Henson,The Curious Case of Benjamin Button {'Queenie'},NO,Black,,No,Mammy,,,,,
2007,80th,Actor -- Supporting Role,Javier Bardem,No Country for Old Men {'Anton Chigurh'},YES,Hispanic,,No,Thug,No,Yes,,,
2007,80th,Actress -- Supporting Role,Ruby Dee,American Gangster {'Mama Lucas'},NO,Black,,,,,,,,
2006,79th,Actor -- Leading Role,Will Smith,The Pursuit of Happyness {'Chris Gardner'},NO,Black,,Yes,,Yes,,,,
2006,79th,Actor -- Leading Role,Forest Whitaker,The Last King of Scotland {'Idi Amin'},YES,Black,,Yes,Famous Person,Yes,Yes,,,
2006,79th,Actor -- Supporting Role,Djimon Hounsou,Blood Diamond {'Solomon Vandy'},NO,Black,,No,Slave,No,,,,
2006,79th,Actor -- Supporting Role,Eddie Murphy,Dreamgirls {'James 'Thunder' Early'},NO,Black,,No,,,,,,
2006,79th,Actress -- Leading Role,Penélope Cruz,Volver {'Raimunda'},NO,Hispanic,,Yes,,,,,,
2006,79th,Actress -- Supporting Role,Adriana Barraza,Babel {'Amelia'},NO,Hispanic,,No,Mammy/Immigrant,,,,,
2006,79th,Actress -- Supporting Role,Jennifer Hudson,Dreamgirls {'Effie White'},YES,Black,,Yes,,Yes,,,,
2006,79th,Actress -- Supporting Role,Rinko Kikuchi,Babel {'Chieko'},NO,Asian,,No,,,,,,
2005,78th,Actor -- Leading Role,Terrence Howard,Hustle & Flow {'DJay'},NO,Black,,Yes,Pimp/Rapper,,,,,
2004,77th,Actor -- Leading Role,Don Cheadle,Hotel Rwanda {'Paul Rusesabagina'},NO,Black,,Yes,,No,,,,
2004,77th,Actor -- Leading Role,Jamie Foxx,Ray {'Ray Charles'},YES,Black,,Yes,Famous Person,Yes,,,,
2004,77th,Actor -- Supporting Role,Jamie Foxx,Collateral {'Max'},NO,Black,,Yes,,,,,,
2004,77th,Actor -- Supporting Role,Morgan Freeman,Million Dollar Baby {'Eddie Scrap-Iron Dupris'},YES,Black,,No,Magical Negro,No,Yes,,,
2004,77th,Actress -- Leading Role,Catalina Sandino Moreno,Maria Full of Grace {'Maria'},NO,Hispanic,,Yes,Immigrant,No,,,,
2004,77th,Actress -- Supporting Role,Sophie Okonedo,Hotel Rwanda {'Tatiana Rusesabagina'},NO,Black,,,,,,,,
2003,76th,Actor -- Leading Role,Ben Kingsley,House of Sand and Fog {'Behrani'},NO,Asian,YES,Yes,,No,,,,
